Username,Last Activity,App Activity 7 days,Portal Activity 7 days,Country,Region
AAB_Aquora,2024-09-18T14:37:37.442Z,0,3,United States,Michigan
AernoutK,2023-09-25T23:32:57.226Z,0,0,Sint Maarten,
aishaniang,2020-12-07T20:17:26.739Z,0,0,United States,Texas
alexandro.disla,2024-09-18T16:36:36.940Z,0,22,United States,Florida
Alex Bonhomme,2024-09-17T15:22:36.230Z,0,5,Haiti,Ouest
Barb S.,2024-02-10T21:35:52.640Z,0,0,United States,Florida
bobchagrasulis,2024-04-18T19:55:13.251Z,0,0,United States,Maine
bobwubbena,2022-04-13T18:12:19.301Z,0,0,United States,Washington
Brenda.Cressey,2021-08-23T14:14:54.724Z,0,0,United States,Maine
brent.krueger,2024-09-17T15:48:02.029Z,1,5,United States,Michigan
B.Stewart,2022-06-22T00:35:58.009Z,0,0,Canada,Quebec
carinsmith,2023-06-20T22:17:34.766Z,0,0,United States,Washington
Celigny Darius,2023-10-26T23:14:38.155Z,0,0,Haiti,Ouest
Claricia Clerveaux,2024-04-03T15:03:43.625Z,0,0,Haiti,Ouest
Covington1,2024-04-25T18:18:55.920Z,0,0,United States,Florida
D5060Hanwash,2023-03-22T16:34:19.005Z,0,0,,
dan balfe,2024-02-08T05:46:20.380Z,0,0,United States,California
Deleted User 1183,2023-10-29T11:34:12.154Z,0,0,Haiti,Ouest
Ditoine,2024-08-06T20:45:31.915Z,0,0,Chile,
donthomas,2021-03-15T11:31:15.580Z,0,0,India,Karnataka
dsulger,2021-08-03T19:43:44.390Z,0,0,United States,Florida
egwynn,2023-11-08T17:06:22.893Z,0,0,United States,Texas
eliejoseph,2021-02-18T01:59:38.822Z,0,0,Haiti,Ouest
elodie,2022-06-10T14:08:42.635Z,0,0,Haiti,Ouest
elodie.herard,2024-08-12T13:40:23.522Z,0,0,Belgium,Flanders
emilybissoon,2023-06-30T12:57:50.306Z,0,0,Canada,Ontario
exampleuser,2023-06-10T23:52:40.956Z,0,0,Spain,Madrid
gkarnes2,2022-05-23T19:56:34.965Z,0,0,United States,Virginia
HANWASH Test,2019-06-12T12:44:48.876Z,0,0,Haiti,
hramchandani,2018-12-22T15:58:35.458Z,0,0,Jamaica,Saint James
Isaac2019,2023-10-23T23:21:17.523Z,0,0,Haiti,Departement de l'Ouest
JDK1,2022-04-19T23:51:27.974Z,0,0,Canada,British Columbia
jduerig,2024-08-28T14:47:53.458Z,0,0,United States,California
Jean Jackendy,2024-09-17T19:43:40.391Z,0,6,Haiti,Ouest
jeanjunior2050,2024-09-16T16:12:53.298Z,0,4,United States,Illinois
jeffcoil,2024-09-10T19:14:56.872Z,0,0,United States,Texas
Jeremy Hurst,2021-08-24T02:46:08.410Z,0,0,Cayman Islands,George Town
jmiller,2022-03-29T20:16:54.390Z,0,0,United States,Florida
JohnSmarge,2020-01-27T22:40:01.516Z,0,0,United States,Texas
jp.5 -HANWASH,2024-08-27T20:43:57.987Z,0,0,United States,New York
JudyLo,2023-10-23T23:23:28.354Z,0,0,Haiti,Ouest
krfahy,2020-01-26T15:41:07.313Z,0,0,Haiti,Departement de l'Ouest
LindseyCancino,2024-07-08T22:33:04.909Z,0,0,Bahamas,South Andros
lizgoggins,2024-08-26T23:13:34.348Z,0,0,United States,Virginia
Magepa1,2024-07-16T22:34:17.128Z,0,0,Haiti,Ouest
marlene,2024-02-06T23:10:26.558Z,0,0,Haiti,Ouest
Marpha,2023-10-26T23:18:36.756Z,0,0,Haiti,Ouest
