Commune,Description,ID
Cavaillon,"Handpump at Pakwa",79887768
Cavaillon,"Solar powered kiosk at Laveng",79887737
Cavaillon,"Handpump at Labich",85205143
Cavaillon,"Handpump at Gros Marin",85205198
Cavaillon,"Handpump at Corail",207654804
Cavaillon,"Handpump at Gwayav",85205174
Cavaillon,"Community mobilization at Beda",324153565
Cavaillon,"Handpump at Bricourt",324153819
Cavaillon,"Handpump at Karoline",251792400
Cavaillon,"Community mobilization at Macrapo",453970563
Cavaillon,"Community mobilization at Kafou Chat",361668938
Cavaillon,"Handpump at Roche Delmas",453969895
